group,order,n_orbits,kappa,d_orb,rho_t1,rho_t5
Trivial {e},1,25,1.0,1,0.9600000000000003,0.8
Z2 (Transpose),2,15,0.6,2,0.9597999999999999,0.8002000000000001
Z2 (R180),2,13,0.52,2,0.9598,0.7966
"Klein (T, R180)",4,9,0.36,2,0.9843999999999999,0.915
"Klein (Rh, Rv)",4,9,0.36,2,0.9845999999999999,0.9225999999999999
Z4 (R90),4,7,0.28,4,0.9984000000000001,0.9792000000000001
"D4 (R90, T)",8,6,0.24,4,0.9984000000000001,0.9832000000000001
"Z2³ (T, R180, Rh)",8,6,0.24,4,0.9986000000000002,0.9822
"D8 (R90, T, Rh)",16,6,0.24,4,0.9964000000000002,0.9852000000000001
