group,order,n_orbits,kappa,H_mean,H_std,mean_var_Hd,in_F
Trivial {e},1,25,1.0,3.8671492437751884,0.15927986465223365,1.0961879662133642e-31,True
Z2 (Transpose),2,15,0.6,3.3728042117438624,0.20314793946843035,3.2869204384208823e-32,True
Z2 (R180),2,13,0.52,3.270488058466804,0.21579183698221985,2.8103169748498543e-32,True
Z2 (Horiz refl),2,15,0.6,3.3542358000921015,0.21372287298868156,6.984705931644376e-32,True
Z2 (Vert refl),2,15,0.6,3.386944315911285,0.18236262899642972,6.656013887802288e-32,True
"Klein Z2×Z2 (T,R180)",4,9,0.36,2.7688452377005595,0.21171715387110648,1.2161605622157266e-32,True
"Klein Z2×Z2 (Rh,Rv)",4,9,0.36,2.7583909020587085,0.21193284402501528,1.0846837446788912e-32,True
"Z2×Z2 (T,Rh)",4,6,0.24,2.2571595713917274,0.19433577629407972,0.0,True
Z4 (R90),4,7,0.28,2.52493707723719,0.21459990493539768,4.930380657631324e-33,True
"D4 (R90,T)",8,6,0.24,2.257365654529392,0.21481473445117705,0.0,True
"D4 (R90,Rh)",8,6,0.24,2.2244145080532016,0.213134804948441,0.0,True
"Z2×Z2×Z2 (T,R180,Rh)",8,6,0.24,2.257550753742555,0.2092537774292033,0.0,True
"D8 (R90,T,Rh)",16,6,0.24,2.2259322910662056,0.22366317736037952,0.0,True
