group,order,n_orbits,H_M,H_M_G,A,R,delta_A_pct
Trivial {e},1,25,117.51099295352732,117.51099295352732,0.0,1.0,0.0
Z2 (T),2,15,117.51099295352732,70.50659577211638,47.00439718141094,0.6,40.00000000000001
Z2 (R180),2,13,117.51099295352732,61.1057163358342,56.40527661769312,0.52,48.0
Z2 (Rh),2,15,117.51099295352732,70.50659577211638,47.00439718141094,0.6,40.00000000000001
Z2 (Rv),2,15,117.51099295352732,70.50659577211638,47.00439718141094,0.6,40.00000000000001
"Klein (T, R180)",4,9,117.51099295352732,42.30395746326983,75.20703549025748,0.36,64.0
"Klein (Rh, Rv)",4,9,117.51099295352732,42.30395746326983,75.20703549025748,0.36,64.0
"Z2×Z2 (T, Rh)",4,6,117.51099295352732,28.202638308846556,89.30835464468076,0.24,76.0
Z4 (R90),4,7,117.51099295352732,32.90307802698765,84.60791492653968,0.28,72.0
"D4 (R90, T)",8,6,117.51099295352732,28.202638308846556,89.30835464468076,0.24,76.0
"D4 (R90, Rh)",8,6,117.51099295352732,28.202638308846556,89.30835464468076,0.24,76.0
"Z2³ (T, R180, Rh)",8,6,117.51099295352732,28.202638308846556,89.30835464468076,0.24,76.0
"D8 (R90, T, Rh)",16,6,117.51099295352732,28.202638308846556,89.30835464468076,0.24,76.0
"Z2⁴ (T, R180, Rh, Rd)",16,6,117.51099295352732,28.202638308846556,89.30835464468076,0.24,76.0
