n,group,order,n_positions,n_orbits,kappa,burnside_lb,kappa_ge_burnside
3,Trivial {e},1,9,9,1.0,1.0,True
3,Z2 (T),2,9,6,0.6666666666666666,0.5,True
3,Z2 (R180),2,9,5,0.5555555555555556,0.5,True
3,Z2 (Rh),2,9,6,0.6666666666666666,0.5,True
3,Z2 (Rv),2,9,6,0.6666666666666666,0.5,True
3,Z2 (Rd),2,9,6,0.6666666666666666,0.5,True
3,"Klein T,R180",4,9,4,0.4444444444444444,0.25,True
3,"Klein Rh,Rv",4,9,4,0.4444444444444444,0.25,True
3,"Z2×Z2 T,Rh",4,9,3,0.3333333333333333,0.25,True
3,Z4 (R90),4,9,3,0.3333333333333333,0.25,True
3,"D4 (R90,T)",8,9,3,0.3333333333333333,0.125,True
3,"D4 (R90,Rh)",8,9,3,0.3333333333333333,0.125,True
3,"Z2^3 (T,R180,Rh)",8,9,3,0.3333333333333333,0.125,True
3,"D8 full (R90,T,Rh)",16,9,3,0.3333333333333333,0.0625,True
3,"Z2^4 (T,R180,Rh,Rd)",16,9,3,0.3333333333333333,0.0625,True
4,Trivial {e},1,16,16,1.0,1.0,True
4,Z2 (T),2,16,10,0.625,0.5,True
4,Z2 (R180),2,16,8,0.5,0.5,True
4,Z2 (Rh),2,16,8,0.5,0.5,True
4,Z2 (Rv),2,16,8,0.5,0.5,True
4,Z2 (Rd),2,16,10,0.625,0.5,True
4,"Klein T,R180",4,16,6,0.375,0.25,True
4,"Klein Rh,Rv",4,16,4,0.25,0.25,True
4,"Z2×Z2 T,Rh",4,16,3,0.1875,0.25,False
4,Z4 (R90),4,16,4,0.25,0.25,True
4,"D4 (R90,T)",8,16,3,0.1875,0.125,True
4,"D4 (R90,Rh)",8,16,3,0.1875,0.125,True
4,"Z2^3 (T,R180,Rh)",8,16,3,0.1875,0.125,True
4,"D8 full (R90,T,Rh)",16,16,3,0.1875,0.0625,True
4,"Z2^4 (T,R180,Rh,Rd)",16,16,3,0.1875,0.0625,True
5,Trivial {e},1,25,25,1.0,1.0,True
5,Z2 (T),2,25,15,0.6,0.5,True
5,Z2 (R180),2,25,13,0.52,0.5,True
5,Z2 (Rh),2,25,15,0.6,0.5,True
5,Z2 (Rv),2,25,15,0.6,0.5,True
5,Z2 (Rd),2,25,15,0.6,0.5,True
5,"Klein T,R180",4,25,9,0.36,0.25,True
5,"Klein Rh,Rv",4,25,9,0.36,0.25,True
5,"Z2×Z2 T,Rh",4,25,6,0.24,0.25,False
5,Z4 (R90),4,25,7,0.28,0.25,True
5,"D4 (R90,T)",8,25,6,0.24,0.125,True
5,"D4 (R90,Rh)",8,25,6,0.24,0.125,True
5,"Z2^3 (T,R180,Rh)",8,25,6,0.24,0.125,True
5,"D8 full (R90,T,Rh)",16,25,6,0.24,0.0625,True
5,"Z2^4 (T,R180,Rh,Rd)",16,25,6,0.24,0.0625,True
