group,order,kappa_sym,n_orbits,best_N,kappa_holo,delta_kappa
Trivial {e},1,1.0,25,2,0.5,0.5
Z2 (T),2,0.6,15,2,0.5,0.09999999999999998
Z2 (R180),2,0.52,13,2,0.5,0.020000000000000018
"Klein (T,R180)",4,0.36,9,3,0.3333333333333333,0.026666666666666672
"Klein (Rh,Rv)",4,0.36,9,3,0.3333333333333333,0.026666666666666672
Z4 (R90),4,0.28,7,4,0.25,0.030000000000000027
"D4 (R90,T)",8,0.24,6,4,0.25,0.010000000000000009
"Z2^3 (T,R180,Rh)",8,0.24,6,4,0.25,0.010000000000000009
"D8 (R90,T,Rh)",16,0.24,6,4,0.25,0.010000000000000009
